clip_name;video_name;dataset;source;url;fps;activity_label;action_id;start_time;end_time;duration;start_frame;end_frame;total_frames
americanfootball_clip_50;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;2981000;2992000;11;89341;89670;330
americanfootball_clip_51;Helmet cam ty;EOAD;YouTube;https://www.youtube.com/watch?v=wS6AF_CAeY4;30;americanfootball;1;115000;121000;6;3450;3630;181
americanfootball_clip_52;Helmet cam ty;EOAD;YouTube;https://www.youtube.com/watch?v=wS6AF_CAeY4;30;americanfootball;1;153000;158000;5;4590;4740;151
americanfootball_clip_53;Helmet cam ty;EOAD;YouTube;https://www.youtube.com/watch?v=wS6AF_CAeY4;30;americanfootball;1;223000;230000;7;6690;6900;211
americanfootball_clip_54;Helmet cam ty;EOAD;YouTube;https://www.youtube.com/watch?v=wS6AF_CAeY4;30;americanfootball;1;443000;450000;7;13290;13500;211
americanfootball_clip_55;Helmet cam ty;EOAD;YouTube;https://www.youtube.com/watch?v=wS6AF_CAeY4;30;americanfootball;1;488000;496000;8;14640;14880;241
americanfootball_clip_56;Helmet cam ty;EOAD;YouTube;https://www.youtube.com/watch?v=wS6AF_CAeY4;30;americanfootball;1;526000;536000;10;15780;16080;301
americanfootball_clip_57;Helmet cam ty;EOAD;YouTube;https://www.youtube.com/watch?v=wS6AF_CAeY4;30;americanfootball;1;562000;570000;8;16860;17100;241
americanfootball_clip_58;Helmet cam ty;EOAD;YouTube;https://www.youtube.com/watch?v=wS6AF_CAeY4;30;americanfootball;1;639000;655000;16;19170;19650;481
americanfootball_clip_59;Helmet cam ty;EOAD;YouTube;https://www.youtube.com/watch?v=wS6AF_CAeY4;30;americanfootball;1;1137000;1144000;7;34110;34320;211
americanfootball_clip_60;Helmet cam ty;EOAD;YouTube;https://www.youtube.com/watch?v=wS6AF_CAeY4;30;americanfootball;1;1166000;1174000;8;34980;35220;241
americanfootball_clip_61;Helmet cam ty;EOAD;YouTube;https://www.youtube.com/watch?v=wS6AF_CAeY4;30;americanfootball;1;1244000;1253000;9;37320;37590;271
americanfootball_clip_62;Helmet cam ty;EOAD;YouTube;https://www.youtube.com/watch?v=wS6AF_CAeY4;30;americanfootball;1;1441000;1448000;7;43230;43440;211
americanfootball_clip_63;Helmet cam ty;EOAD;YouTube;https://www.youtube.com/watch?v=wS6AF_CAeY4;30;americanfootball;1;1488000;1498000;10;44640;44940;301
americanfootball_clip_64;Jordan Lynch - GoPro Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=m3-IR5ETgaE;29.97;americanfootball;1;71300;77000;5.7;2137;2308;172
americanfootball_clip_65;Jordan Lynch - GoPro Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=m3-IR5ETgaE;29.97;americanfootball;1;92700;98500;5.8;2778;2952;175
americanfootball_clip_66;Jordan Lynch - GoPro Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=m3-IR5ETgaE;29.97;americanfootball;1;116000;122000;6;3477;3656;180
americanfootball_clip_67;Patrick Peterson GoPro Practice Highlights | Arizona Cardinals | NFL;EOAD;YouTube;https://www.youtube.com/watch?v=Lbo5KAPM7wg;29.97;americanfootball;1;63900;69500;5.6;1915;2083;169
americanfootball_clip_68;SRU Football QB Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=SBd9oSMmtTM;29.97;americanfootball;1;22000;32000;10;659;959;301
americanfootball_clip_69;SRU Football QB Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=SBd9oSMmtTM;29.97;americanfootball;1;44000;51000;7;1319;1528;210
americanfootball_clip_70;SRU Football QB Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=SBd9oSMmtTM;29.97;americanfootball;1;95000;103000;8;2847;3087;241
americanfootball_clip_71;SRU Football QB Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=SBd9oSMmtTM;29.97;americanfootball;1;135000;142000;7;4046;4256;211
americanfootball_clip_72;SRU Football QB Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=SBd9oSMmtTM;29.97;americanfootball;1;167000;178000;11;5005;5335;331
americanfootball_clip_73;SRU Football QB Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=SBd9oSMmtTM;29.97;americanfootball;1;249000;256000;7;7463;7672;210
americanfootball_clip_74;SRU Football QB Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=SBd9oSMmtTM;29.97;americanfootball;1;269000;277000;8;8062;8302;241
americanfootball_clip_75;SRU Football QB Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=SBd9oSMmtTM;29.97;americanfootball;1;337000;346000;9;10100;10370;271
americanfootball_clip_76;SRU Football QB Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=SBd9oSMmtTM;29.97;americanfootball;1;509000;516000;7;15255;15465;211
americanfootball_clip_77;SRU Football QB Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=SBd9oSMmtTM;29.97;americanfootball;1;530000;538000;8;15884;16124;241
americanfootball_clip_78;SRU Football QB Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=SBd9oSMmtTM;29.97;americanfootball;1;559000;566000;7;16753;16963;211
americanfootball_clip_79;SRU Football QB Helmet Cam;EOAD;YouTube;https://www.youtube.com/watch?v=SBd9oSMmtTM;29.97;americanfootball;1;602000;616000;14;18042;18462;421
basketball_clip_1;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;33000;49000;16;990;1470;481
basketball_clip_2;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;72000;82000;10;2160;2460;301
basketball_clip_3;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;86000;100000;14;2580;3000;421
basketball_clip_4;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;107000;131000;24;3210;3930;721
basketball_clip_5;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;133000;149000;16;3990;4470;481
basketball_clip_6;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;165000;192000;27;4950;5760;811
basketball_clip_7;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;206000;223000;17;6180;6690;511
basketball_clip_8;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;228000;235000;7;6840;7050;211
basketball_clip_9;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;244000;250000;6;7320;7500;181
basketball_clip_10;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;254000;262000;8;7620;7860;241
basketball_clip_11;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;265000;275000;10;7950;8250;301
basketball_clip_12;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;284000;293000;9;8520;8790;271
basketball_clip_13;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;297000;323000;26;8910;9690;781
basketball_clip_14;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;336000;354000;18;10080;10620;541
basketball_clip_15;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;363000;377000;14;10890;11310;421
basketball_clip_16;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;383000;393000;10;11490;11790;301
basketball_clip_17;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;401000;413000;12;12030;12390;361
basketball_clip_18;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;415000;433000;18;12450;12990;541
basketball_clip_19;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;449000;468000;19;13470;14040;571
basketball_clip_20;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;488000;502000;14;14640;15060;421
basketball_clip_21;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;524000;542000;18;15720;16260;541
basketball_clip_22;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;544000;552000;8;16320;16560;241
basketball_clip_23;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;554000;563000;9;16620;16890;271
basketball_clip_24;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;573000;583000;10;17190;17490;301
basketball_clip_25;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;589000;628000;39;17670;18840;1171
basketball_clip_26;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;647000;667000;20;19410;20010;601
basketball_clip_27;GoPro Hero 3 Black Edition - Basketball with Chest Mount;EOAD;YouTube;https://www.youtube.com/watch?v=o1Mg_iop7g8;30;basketball;2;679000;709000;30;20370;21270;901
basketball_clip_28;First Person Basketball - 1 on 1;EOAD;YouTube;https://www.youtube.com/watch?v=9o1iAQrKSIU;29.97;basketball;2;0;82000;82;0;2458;2459
basketball_clip_29;First Person Basketball - 1 on 1;EOAD;YouTube;https://www.youtube.com/watch?v=9o1iAQrKSIU;29.97;basketball;2;94000;114500;20.5;2817;3432;616
basketball_clip_30;First Person Basketball - 1 on 1;EOAD;YouTube;https://www.youtube.com/watch?v=9o1iAQrKSIU;29.97;basketball;2;155700;162600;6.9;4666;4873;208
basketball_clip_31;First Person Basketball - 1 on 1;EOAD;YouTube;https://www.youtube.com/watch?v=9o1iAQrKSIU;29.97;basketball;2;163000;183000;20;4885;5485;601
basketball_clip_32;First Person Basketball - 1 on 1;EOAD;YouTube;https://www.youtube.com/watch?v=9o1iAQrKSIU;29.97;basketball;2;187000;231400;44.4;5604;6935;1332
basketball_clip_33;First Person Basketball - 1 on 1;EOAD;YouTube;https://www.youtube.com/watch?v=9o1iAQrKSIU;29.97;basketball;2;249600;261000;11.4;7481;7822;342
basketball_clip_34;First Person Basketball - Game of 21;EOAD;YouTube;https://www.youtube.com/watch?v=iUo7TPM5JYM;29.97;basketball;2;0;18000;18;0;539;540
basketball_clip_35;First Person Basketball - Game of 21;EOAD;YouTube;https://www.youtube.com/watch?v=iUo7TPM5JYM;29.97;basketball;2;19900;26000;6.1;596;779;184
basketball_clip_36;First Person Basketball - Game of 21;EOAD;YouTube;https://www.youtube.com/watch?v=iUo7TPM5JYM;29.97;basketball;2;52500;174000;121.5;1573;5215;3643
basketball_clip_37;First Person Basketball - Game of 21;EOAD;YouTube;https://www.youtube.com/watch?v=iUo7TPM5JYM;29.97;basketball;2;176400;242000;65.6;5287;7253;1967
basketball_clip_38;First Person Basketball - Game of 21;EOAD;YouTube;https://www.youtube.com/watch?v=iUo7TPM5JYM;29.97;basketball;2;246000;282000;36;7373;8452;1080
basketball_clip_39;First Person Basketball - Game of 21;EOAD;YouTube;https://www.youtube.com/watch?v=iUo7TPM5JYM;29.97;basketball;2;282400;311000;28.6;8464;9321;858
basketball_clip_40;First Person Basketball - Game of 21;EOAD;YouTube;https://www.youtube.com/watch?v=iUo7TPM5JYM;29.97;basketball;2;313000;354000;41;9381;10609;1229
basketball_clip_41;Video Blog 3   1st Person Basketball;EOAD;YouTube;https://www.youtube.com/watch?v=-1JgN0F_7zg;29.97;basketball;2;72400;97000;24.6;2170;2907;738
basketball_clip_42;Video Blog 3   1st Person Basketball;EOAD;YouTube;https://www.youtube.com/watch?v=-1JgN0F_7zg;29.97;basketball;2;103300;126500;23.2;3096;3791;696
basketball_clip_43;Video Blog 3   1st Person Basketball;EOAD;YouTube;https://www.youtube.com/watch?v=-1JgN0F_7zg;29.97;basketball;2;135300;147800;12.5;4055;4430;376
basketball_clip_44;Video Blog 3   1st Person Basketball;EOAD;YouTube;https://www.youtube.com/watch?v=-1JgN0F_7zg;29.97;basketball;2;157000;166500;9.5;4705;4990;286
basketball_clip_45;Video Blog 3   1st Person Basketball;EOAD;YouTube;https://www.youtube.com/watch?v=-1JgN0F_7zg;29.97;basketball;2;180200;194000;13.8;5401;5814;414
basketball_clip_46;Video Blog 3   1st Person Basketball;EOAD;YouTube;https://www.youtube.com/watch?v=-1JgN0F_7zg;29.97;basketball;2;275600;289000;13.4;8260;8661;402
basketball_clip_47;Video Blog 3   1st Person Basketball;EOAD;YouTube;https://www.youtube.com/watch?v=-1JgN0F_7zg;29.97;basketball;2;290000;298000;8;8691;8931;241
basketball_clip_48;Video Blog 3   1st Person Basketball;EOAD;YouTube;https://www.youtube.com/watch?v=-1JgN0F_7zg;29.97;basketball;2;386200;412000;25.8;11574;12348;775
basketball_clip_49;Video Blog 3   1st Person Basketball;EOAD;YouTube;https://www.youtube.com/watch?v=-1JgN0F_7zg;29.97;basketball;2;450300;466000;15.7;13495;13966;472
basketball_clip_50;Video Blog 3   1st Person Basketball;EOAD;YouTube;https://www.youtube.com/watch?v=-1JgN0F_7zg;29.97;basketball;2;490200;498000;7.8;14691;14925;235
basketball_clip_51;Video Blog 3   1st Person Basketball;EOAD;YouTube;https://www.youtube.com/watch?v=-1JgN0F_7zg;29.97;basketball;2;517200;528000;10.8;15500;15824;325
basketball_clip_52;Video Blog 3   1st Person Basketball;EOAD;YouTube;https://www.youtube.com/watch?v=-1JgN0F_7zg;29.97;basketball;2;559300;570000;10.7;16762;17083;322
basketball_clip_53;Basketball POV GoPro Hero 7 Black;EOAD;YouTube;https://www.youtube.com/watch?v=yeUCyOOZAKQ;29.97;basketball;2;30000;209500;179.5;899;6279;5381
basketball_clip_54;GoPro Hero 7 white basketball game;EOAD;YouTube;https://www.youtube.com/watch?v=97GV6l7y76g;30;basketball;2;75000;89600;14.6;2250;2688;439
basketball_clip_55;GoPro Hero 7 white basketball game;EOAD;YouTube;https://www.youtube.com/watch?v=97GV6l7y76g;30;basketball;2;90000;115300;25.3;2700;3459;760
basketball_clip_56;GoPro Hero 7 white basketball game;EOAD;YouTube;https://www.youtube.com/watch?v=97GV6l7y76g;30;basketball;2;115700;138300;22.6;3471;4149;679
basketball_clip_57;GoPro Hero 7 white basketball game;EOAD;YouTube;https://www.youtube.com/watch?v=97GV6l7y76g;30;basketball;2;139000;169000;30;4170;5070;901
basketball_clip_58;GoPro Hero 7 white basketball game;EOAD;YouTube;https://www.youtube.com/watch?v=97GV6l7y76g;30;basketball;2;169300;189300;20;5079;5679;601
basketball_clip_59;GoPro Hero 7 white basketball game;EOAD;YouTube;https://www.youtube.com/watch?v=97GV6l7y76g;30;basketball;2;192000;209000;17;5760;6270;511
basketball_clip_60;GoPro Hero 7 white basketball game;EOAD;YouTube;https://www.youtube.com/watch?v=97GV6l7y76g;30;basketball;2;209500;236000;26.5;6285;7080;796
basketball_clip_61;GoPro Hero 7 white basketball game;EOAD;YouTube;https://www.youtube.com/watch?v=97GV6l7y76g;30;basketball;2;253000;271000;18;7590;8130;541
basketball_clip_62;GoPro Hero 7 white basketball game;EOAD;YouTube;https://www.youtube.com/watch?v=97GV6l7y76g;30;basketball;2;286000;304000;18;8580;9120;541
basketball_clip_63;Ð‘Ð°ÑÐºÐµÑ‚Ð±Ð¾Ð» Ð¾Ñ‚ Ð¿ÐµÑ€Ð²Ð¾Ð³Ð¾ Ð»Ð¸Ñ†Ð° 2 / Basketball first person;EOAD;YouTube;https://www.youtube.com/watch?v=KJfeeMivjHU;29.97;basketball;2;53000;428000;375;1588;12827;11240
basketball_clip_64;Ð‘Ð°ÑÐºÐµÑ‚Ð±Ð¾Ð» Ð¾Ñ‚ Ð¿ÐµÑ€Ð²Ð¾Ð³Ð¾ Ð»Ð¸Ñ†Ð° 2 / Basketball first person;EOAD;YouTube;https://www.youtube.com/watch?v=KJfeeMivjHU;29.97;basketball;2;787000;1216000;429;23586;36444;12859
basketball_clip_65;Ð‘Ð°ÑÐºÐµÑ‚Ð±Ð¾Ð» Ð¾Ñ‚ Ð¿ÐµÑ€Ð²Ð¾Ð³Ð¾ Ð»Ð¸Ñ†Ð° 2 / Basketball first person;EOAD;YouTube;https://www.youtube.com/watch?v=KJfeeMivjHU;29.97;basketball;2;1256000;1640000;384;37642;49151;11510
